budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year
25000000,L.A. Films,USA,John Landis,Comedy,39246734,ЎThree Amigos!,PG,12/12/1986,104,6.4,Steve Martin,57406,Steve Martin,1986
25000000,Warner Bros.,USA,George P. Cosmatos,Action,49042224,Cobra,R,5/23/1986,87,5.7,Sylvester Stallone,54851,Paula Gosling,1986
0,Gaumont,France,Jean-Jacques Beineix,Drama,2003822,Betty Blue,Not specified,11/7/1986,120,7.4,Jean-Hugues Anglade,14562,Philippe Djian,1986
24500000,Warner Bros.,UK,Roland Joffй,Adventure,17218023,The Mission,PG,10/31/1986,125,7.5,Robert De Niro,47497,Robert Bolt,1986
13800000,Touchstone Pictures,USA,Martin Scorsese,Drama,52293982,The Color of Money,R,10/17/1986,119,7,Paul Newman,62495,Walter Tevis,1986
0,Columbia Pictures Corporation,USA,John G. Avildsen,Action,115103979,The Karate Kid Part II,PG,6/20/1986,113,5.9,Pat Morita,58370,Robert Mark Kamen,1986
0,Lorimar Productions,USA,Nick Castle,Drama,7177431,The Boy Who Could Fly,PG,9/26/1986,114,6.5,Lucy Deakins,4623,Nick Castle,1986
6000000,HBO Films,USA,Robert Harmon,Thriller,5844868,The Hitcher,R,2/21/1986,97,7.3,Rutger Hauer,36191,Eric Red,1986
10000000,Amblin Entertainment,USA,Richard Benjamin,Comedy,37499651,The Money Pit,PG,3/26/1986,91,6.3,Tom Hanks,41278,David Giler,1986
3000000,Paramount Pictures,USA,Tom McLoughlin,Horror,19472057,Jason Lives: Friday the 13th Part VI,R,8/1/1986,86,5.9,Thom Mathews,28310,Tom McLoughlin,1986
25000000,The Saul Zaentz Company,USA,Peter Weir,Adventure,14302779,The Mosquito Coast,PG,11/26/1986,117,6.6,Harrison Ford,23076,Paul Theroux,1986
0,Universal Pictures,USA,Don Bluth,Animation,47483002,An American Tail,G,11/21/1986,80,6.9,Dom DeLuise,41004,Judy Freudberg,1986
4000000,Initial Pictures,UK,Alex Cox,Biography,2826523,Sid and Nancy,R,11/7/1986,112,7.1,Gary Oldman,25032,Alex Cox,1986
10000000,De Laurentiis Entertainment Group (DEG),USA,John Guillermin,Action,4711220,King Kong Lives,PG-13,12/19/1986,105,3.8,Brian Kerwin,4401,Ronald Shusett,1986
4500000,Empire Pictures,USA,Stuart Gordon,Horror,1261000,From Beyond,R,10/24/1986,86,6.7,Jeffrey Combs,16636,H.P. Lovecraft,1986
18000000,TriStar Pictures,USA,Francis Ford Coppola,Comedy,41382841,Peggy Sue Got Married,PG-13,10/10/1986,103,6.3,Kathleen Turner,28529,Jerry Leichtling,1986
19000000,Freddie Fields Productions,USA,Brian Gibson,Horror,40996665,Poltergeist II: The Other Side,PG-13,5/23/1986,91,5.7,JoBeth Williams,20669,Mark Victor,1986
1100000,Empire Pictures,USA,John Carl Buechler,Comedy,5450815,Troll,PG-13,1/17/1986,82,4.3,Michael Moriarty,7569,Ed Naha,1986
0,Metro-Goldwyn-Mayer (MGM),USA,Peter Hyams,Action,38500726,Running Scared,R,6/27/1986,107,6.5,Gregory Hines,9344,Gary DeVore,1986
0,Hawn / Sylbert Movie Company,USA,Michael Ritchie,Comedy,26285544,Wildcats,R,2/14/1986,106,5.9,Goldie Hawn,10239,Ezra Sacks,1986
111000,Maljack Productions,USA,John McNaughton,Biography,609939,Henry: Portrait of a Serial Killer,UNRATED,9/7/1990,83,7,Michael Rooker,25367,Richard Fire,1986
18000000,ABC Motion Pictures,USA,Harry Winer,Adventure,9697739,SpaceCamp,PG,6/6/1986,107,5.6,Kate Capshaw,11484,Clifford Green,1986
6400000,Orion Pictures,USA,Woody Allen,Comedy,40084041,Hannah and Her Sisters,PG-13,3/14/1986,107,8,Mia Farrow,56988,Woody Allen,1986
14000000,Walt Disney Pictures,USA,Ron Clements,Animation,38600000,The Great Mouse Detective,G,7/2/1986,74,7.2,Vincent Price,36539,Peter Young,1986
8500000,De Laurentiis Entertainment Group (DEG),USA,John Irvin,Action,16209459,Raw Deal,R,6/6/1986,106,5.5,Arnold Schwarzenegger,24851,Luciano Vincenzoni,1986
6000000,Sunbow Productions,USA,Nelson Shin,Animation,5849647,The Transformers: The Movie,PG,8/8/1986,84,7.3,Orson Welles,33609,Ron Friedman,1986
0,TaliaFilm II Productions,USA,Hal Needham,Drama,2015882,Rad,PG,3/28/1986,91,7.2,Bart Conner,4039,Sam Bernard,1986
5000000,TriStar Pictures,USA,Fred Dekker,Comedy,591366,Night of the Creeps,R,8/22/1986,88,6.8,Jason Lively,16077,Fred Dekker,1986
12000000,Cannon Pictures,USA,Tobe Hooper,Horror,4884663,Invaders from Mars,PG,6/6/1986,100,5.5,Karen Black,5878,Richard Blake,1986
0,Columbia Pictures Corporation,USA,Walter Hill,Drama,5839031,Crossroads,R,3/14/1986,99,7.1,Ralph Macchio,11415,John Fusco,1986
6000000,De Haven Productions,UK,David Anspaugh,Drama,28607524,Hoosiers,PG,2/27/1987,114,7.6,Gene Hackman,36604,Angelo Pizzo,1986
0,Svenska Filminstitutet (SFI),Sweden,Andrei Tarkovsky,Drama,300653,Sacrifice,PG,1986-11,149,8.1,Erland Josephson,16571,Andrei Tarkovsky,1986
6500000,Cinema '85,USA,James Foley,Crime,2347000,At Close Range,R,4/18/1986,111,7,Sean Penn,11607,Elliott Lewitt,1986
0,Blueline Productions,USA,Peter Markle,Drama,15448384,Youngblood,R,1/31/1986,110,6.1,Rob Lowe,10412,Peter Markle,1986
0,Seasonal Film Corporation,USA,Corey Yuen,Action,4662137,"No Retreat, No Surrender",PG,5/2/1986,85,5.6,Kurt McKinney,12803,See-Yuen Ng,1986
0,Universal Pictures,USA,Anthony Perkins,Horror,14481606,Psicosis III,R,7/2/1986,93,5.3,Anthony Perkins,10022,Charles Edward Pogue,1986
20000000,Paramount Pictures,USA,Mike Nichols,Comedy,25314289,Heartburn,R,7/25/1986,108,6.1,Meryl Streep,7570,Nora Ephron,1986
15000000,Warner Bros.,USA,Michael Chapman,Adventure,1953732,The Clan of the Cave Bear,R,1/17/1986,98,5.3,Daryl Hannah,5340,Jean M. Auel,1986
12000000,Golan-Globus Productions,USA,Menahem Golan,Action,17768900,The Delta Force,R,2/14/1986,125,5.6,Chuck Norris,15819,James Bruner,1986
0,Warner Bros.,USA,Wes Craven,Drama,8988731,Deadly Friend,R,10/10/1986,91,5.5,Matthew Labyorteaux,5419,Diana Henstell,1986
0,TriStar Pictures,USA,Edward Zwick,Comedy,38702310,About Last Night...,R,7/2/1986,113,6.2,Rob Lowe,12307,David Mamet,1986
0,Balcor Film Investors,USA,Steve Miner,Comedy,27820000,Soul Man,PG-13,10/24/1986,104,5.2,C. Thomas Howell,6440,Carol Black,1986
0,A&M; Films,USA,Savage Steve Holland,Comedy,13431806,One Crazy Summer,PG,8/8/1986,93,6.4,John Cusack,11581,Savage Steve Holland,1986
0,De Laurentiis Entertainment Group (DEG),USA,Charles Martin Smith,Comedy,6797218,Trick or Treat,R,10/24/1986,98,5.8,Marc Price,4585,Rhet Topham,1986
18000000,Paramount Pictures,USA,Ron Howard,Comedy,36611610,Gung Ho,PG-13,3/14/1986,112,6.2,Michael Keaton,9965,Edwin Blum,1986
0,American Filmworks,USA,Sidney Lumet,Crime,25147055,The Morning After,R,12/25/1986,103,6,Jane Fonda,4943,James Cresson,1986
0,Police Academy Productions,USA,Jerry Paris,Comedy,43579163,Police Academy 3: Back in Training,PG,3/21/1986,83,5.2,Steve Guttenberg,35443,Neal Israel,1986
175000,40 Acres & A Mule Filmworks,USA,Spike Lee,Comedy,7137502,She's Gotta Have It,R,8/8/1986,84,6.6,Tracy Camilla Johns,5257,Spike Lee,1986
0,Touchstone Pictures,USA,Jim Abrahams,Comedy,71624879,Ruthless People,R,6/27/1986,93,6.9,Bette Midler,22554,Dale Launer,1986
8700000,Delphi V Productions,USA,Paul Michael Glaser,Action,4865912,Band of the Hand,R,4/11/1986,109,6.3,Stephen Lang,2297,Leo Garen,1986
0,Cannon Group,USA,John Frankenheimer,Crime,5186646,52 Pick-Up,R,11/7/1986,110,6.4,Roy Scheider,3866,Elmore Leonard,1986
0,Paramount Pictures,USA,Randa Haines,Drama,31853080,Children of a Lesser God,R,10/31/1986,119,7.2,William Hurt,12538,Mark Medoff,1986
12000000,Columbia Pictures Corporation,USA,Mark L. Lester,Action,15945534,Armed and Dangerous,PG-13,8/15/1986,88,5.6,John Candy,9040,Brian Grazer,1986
1100000,Black Snake,USA,Jim Jarmusch,Comedy,1436000,Down by Law,R,10/30/1986,107,7.8,Tom Waits,39456,Jim Jarmusch,1986
10000000,Orion Pictures,USA,Robert Mandel,Action,20603715,F/X,R,2/7/1986,109,6.7,Bryan Brown,14502,Robert T. Megginson,1986
0,Fuji Television Network,Japan,Masanori Hata,Adventure,13245219,The Adventures of Milo and Otis,G,8/25/1989,90,7.1,Kyфko Koizumi,9178,Masanori Hata,1986
0,Religioso Primitiva,USA,Jonathan Demme,Comedy,8362969,Something Wild,R,11/7/1986,114,6.9,Jeff Daniels,13186,E. Max Frye,1986
18000000,Gladden Entertainment,USA,Marshall Brickman,Sci-Fi,3900000,The Manhattan Project,PG-13,6/13/1986,117,6.1,John Lithgow,4666,Marshall Brickman,1986
5000000,Paramount Pictures,USA,Fred Walton,Horror,12947763,April Fool's Day,R,3/28/1986,89,6.2,Deborah Foreman,11458,Danilo Bach,1986
25000000,Brooksfilms,USA,Alan Johnson,Action,1579260,Solarbabies,PG-13,11/26/1986,94,4.8,Richard Jordan,3397,Walon Green,1986
0,Kings Road Entertainment,USA,Jim McBride,Comedy,17685307,The Big Easy,R,8/28/1987,102,6.6,Dennis Quaid,10022,Daniel Petrie Jr.,1986
0,Lawrence Gordon Productions,USA,Penny Marshall,Comedy,25587804,Jumpin' Jack Flash,R,10/10/1986,105,5.8,Whoopi Goldberg,15703,David Franzoni,1986
40000000,Carthago Films S.a.r.l.,France,Roman Polanski,Adventure,1641825,Piratas,PG-13,7/18/1986,121,6.1,Walter Matthau,6596,John Brownjohn,1986
0,Meltdown Productions,UK,Jimmy T. Murakami,Animation,5274,When the Wind Blows,Not specified,3/11/1988,80,7.8,Peggy Ashcroft,7900,Raymond Briggs,1986
10000000,Touchstone Pictures,USA,Jeff Kanew,Comedy,21458229,Tough Guys,PG,10/3/1986,104,6.2,Burt Lancaster,5584,James Orr,1986
0,Compaснa Iberoamericana de TV,Spain,Pedro Almodуvar,Drama,206952,Matador,NC-17,3/7/1986,110,7,Assumpta Serna,8959,Pedro Almodуvar,1986
0,New World Pictures,USA,Harley Cokeliss,Action,6637565,Black Moon Rising,R,1/10/1986,100,5.4,Tommy Lee Jones,4045,John Carpenter,1986
12000000,Cinema Group Ventures,USA,Roger Spottiswoode,Comedy,7790931,The Best of Times,PG-13,1/31/1986,104,5.9,Robin Williams,5523,Ron Shelton,1986
2000000,Paragon Arts International,UK,Kevin Tenney,Horror,7369373,Witchboard,R,3/13/1987,98,5.7,Todd Allen,4744,Kevin Tenney,1986
14000000,Touchstone Pictures,USA,Paul Mazursky,Comedy,62134225,Down and Out in Beverly Hills,R,1/31/1986,103,6.1,Nick Nolte,13569,Renй Fauchois,1986
8500000,Capital Equipment Leasing,UK,Trevor Nunn,Biography,277646,Lady Jane,PG-13,2/7/1986,136,7.2,Helena Bonham Carter,5364,Chris Bryant,1986
0,Columbia Pictures Corporation,USA,Thomas Michael Donnelly,Crime,7634909,Quicksilver,PG,2/14/1986,105,5.6,Kevin Bacon,3720,Thomas Michael Donnelly,1986
0,Sunbow Productions,USA,Mike Joens,Animation,5958456,My Little Pony: The Movie,G,6/6/1986,86,6,Danny DeVito,2125,George Arthur Bloom,1986
0,Virgin Vision,UK,Ken Russell,Horror,916172,Gothic,R,4/10/1987,87,5.7,Gabriel Byrne,5843,Lord Byron,1986
18000000,Producers Sales Organization (PSO),USA,Hal Ashby,Action,1305114,8 Million Ways to Die,R,4/25/1986,115,5.7,Jeff Bridges,3607,Lawrence Block,1986
0,TriStar Pictures,USA,Richard Pearce,Crime,12303904,No Mercy,R,12/19/1986,106,5.7,Richard Gere,5564,James Carabatsos,1986
0,Orion Pictures,USA,Gene Wilder,Comedy,8033397,Haunted Honeymoon,PG,7/25/1986,82,5.6,Gene Wilder,5549,Gene Wilder,1986
0,Empire Pictures,USA,Ted Nicolaou,Comedy,320256,TerrorVision,R,2/14/1986,83,5.7,Diane Franklin,4620,Ted Nicolaou,1986
0,Golan-Globus Productions,USA,Gary Nelson,Action,3751699,Allan Quatermain and the Lost City of Gold,PG,1/30/1987,99,4.4,Richard Chamberlain,7491,H. Rider Haggard,1986
0,HandMade Films,UK,Neil Jordan,Crime,5794184,Mona Lisa,R,6/13/1986,104,7.4,Bob Hoskins,10747,Neil Jordan,1986
0,Delphi Films,USA,Garry Marshall,Comedy,32324557,Nothing in Common,PG,7/30/1986,118,5.9,Tom Hanks,5345,Rick Podell,1986
8000000,Cannon Group,USA,J. Lee Thompson,Action,11834302,Firewalker,PG,11/21/1986,104,5,Chuck Norris,4752,Robert Gosnell,1986
0,Cannon Screen Entertainment,UK,Nicolas Roeg,Adventure,483460,Castaway,R,9/11/1987,117,6,Oliver Reed,2649,Lucy Irvine,1986
3300000,Amaretto Films,USA,Richard Wenk,Comedy,4941117,Vamp,R,7/18/1986,93,5.9,Chris Makepeace,3909,Donald P. Borchers,1986
0,British Film Institute (BFI),UK,Derek Jarman,Biography,3151,Caravaggio,Not specified,8/29/1986,93,6.7,Noam Almaz,4072,Derek Jarman,1986
0,Les Films Plain Chant,France,Leos Carax,Crime,21483,Mauvais Sang,UNRATED,11/26/1986,116,7.3,Michel Piccoli,4922,Leos Carax,1986
0,Paramount Pictures,USA,Duncan Gibbins,Drama,4636169,Fire with Fire,PG-13,5/9/1986,103,6.6,Craig Sheffer,1264,Bill Phillips,1986
15000000,Warner Bros.,USA,Harold Ramis,Comedy,12308521,Club Paradise,PG-13,7/11/1986,96,4.9,Robin Williams,5049,Harry Shearer,1986
40000000,Universal Pictures,USA,Ivan Reitman,Comedy,49851591,Legal Eagles,PG,6/20/1986,116,5.9,Robert Redford,8374,Ivan Reitman,1986
0,Thorn EMI Screen Entertainment,UK,Christopher Morahan,Comedy,1476356,Clockwise,PG,10/10/1986,96,6.6,John Cleese,9689,Michael Frayn,1986
0,Atlantic Entertainment Group,USA,Robert M. Young,Drama,13418091,Extremities,R,8/22/1986,89,6.3,Farrah Fawcett,2705,William Mastrosimone,1986
13000000,Metro-Goldwyn-Mayer (MGM),USA,Brian De Palma,Comedy,8475466,Wise Guys,R,4/18/1986,100,5.6,Danny DeVito,4573,George Gallo,1986
0,Atlantic Entertainment Group,USA,Peter Medak,Drama,2444076,The Men's Club,R,9/19/1986,101,4.5,David Dukes,680,Leonard Michaels,1986
0,DD Productions,Switzerland,Claude Berri,Drama,4940939,Jean de Florette,PG,8/28/1987,120,8.1,Yves Montand,20914,Claude Berri,1986
0,Balcor Film Investors,USA,Tom DeSimone,Drama,2510433,Reform School Girls,R,8/22/1986,94,5.2,Linda Carol,1717,Jack Cummins,1986
0,DD Productions,Switzerland,Claude Berri,Drama,3940542,Manon of the Spring,PG,12/4/1987,113,8,Yves Montand,17849,Claude Berri,1986
17000000,HandMade Films,UK,Jim Goddard,Adventure,2315683,Shanghai Surprise,PG-13,8/29/1986,97,3.1,Sean Penn,4339,John Kohn,1986
16000000,Lorimar Productions,USA,Sidney Lumet,Drama,3800000,Power,R,1/31/1986,111,5.7,Richard Gere,2287,David Himmelstein,1986
0,Not specified,USA,Jerry Kramer,Comedy,604849,Modern Girls,PG-13,11/7/1986,84,5.9,Daphne Zuniga,1023,Laurie Craig,1986
20000000,De Laurentiis Entertainment Group (DEG),USA,Bruce Beresford,Comedy,22905500,Crimes of the Heart,PG-13,1/23/1987,105,6.4,Diane Keaton,3079,Beth Henley,1986
0,Cinema VII,USA,John McTiernan,Horror,2278264,Nomads,R,3/7/1986,91,5.5,Lesley-Anne Down,3006,John McTiernan,1986
0,Empire Pictures,USA,Peter Manoogian,Action,4601256,Eliminators,PG,1/31/1986,96,4.5,Andrew Prine,1422,Paul De Meo,1986
0,TMS Pictures,Canada,George Mendeluk,Comedy,2147228,Meatballs III: Summer Job,R,1/9/1987,96,3.3,Sally Kellerman,2003,Janis Allen,1986
6000000,Golan-Globus Productions,USA,J. Lee Thompson,Action,9947631,Murphy's Law,R,4/18/1986,100,5.9,Charles Bronson,3561,Gail Morgan Hickman,1986
0,Edward R. Pressman Film,USA,David Byrne,Musical,2545142,True Stories,PG,10/10/1986,90,7,David Byrne,3885,Stephen Tobolowsky,1986
0,Warner Bros.,USA,Prince,Comedy,10090429,Under the Cherry Moon,PG-13,7/2/1986,98,4.9,Prince,2549,Becky Johnston,1986
0,Delphi V Productions,Israel,Moshй Mizrahi,Drama,278623,Every Time We Say Goodbye,PG-13,11/14/1986,95,5.9,Tom Hanks,1834,Moshй Mizrahi,1986
0,Goldcrest Films International,UK,Julien Temple,Drama,930211,Absolute Beginners,PG-13,4/18/1986,108,5.6,Patsy Kensit,2659,Colin MacInnes,1986
0,Little Bear,USA,Bertrand Tavernier,Drama,3272600,'Round Midnight,R,10/3/1986,133,7.4,Dexter Gordon,4028,David Rayfiel,1986
4000000,"Cannon Group, The",USA,Sam Firstenberg,Action,4679650,Avenging Force,R,9/12/1986,104,5.9,Michael Dudikoff,1808,James Booth,1986
0,Simcom Limited,Canada,Paul Lynch,Action,2995527,Bullies,R,8/29/1986,96,5.4,Jonathan Crombie,340,John Sheppard,1986
0,Compact Yellowbill,UK,John Hough,Adventure,112132,Biggles: Adventures in Time,PG,1/29/1988,88,5.8,Neil Dickson,2243,W.E. Johns,1986
0,Lorimar Productions,USA,Albert Magnoli,Drama,4845724,American Anthem,PG-13,6/27/1986,102,4,Mitchell Gaylord,1284,Evan Archerd,1986
0,Columbia Pictures Corporation,USA,Richard Tuggle,Action,5099316,Out of Bounds,R,7/25/1986,93,5.4,Anthony Michael Hall,1016,Tony Kayden,1986
0,Crown International Pictures,USA,David Beaird,Comedy,4781448,My Chauffeur,R,1/24/1986,97,5.6,Deborah Foreman,1426,David Beaird,1986
18000000,Rastar Pictures,USA,Gene Saks,Comedy,11957943,Brighton Beach Memoirs,PG-13,12/25/1986,108,6.9,Blythe Danner,2720,Neil Simon,1986
0,Ministиre de la Culture et de la Communication,France,Йric Rohmer,Drama,37455,Summer,R,8/29/1986,98,7.8,Marie Riviиre,4612,Marie Riviиre,1986
0,Cannon Group,USA,Paul Nicholas,Drama,3136701,The Naked Cage,R,3/7/1986,97,5.5,Shari Shattuck,327,Paul Nicholas,1986
0,Cannon Screen Entertainment,UK,Richard Franklin,Horror,1720450,Link,R,9/19/1986,100,5.9,Terence Stamp,2080,Lee David Zlotoff,1986
0,Edward R. Pressman Film,UK,Bob Swaim,Thriller,1131399,Half Moon Street,R,9/26/1986,90,5.4,Sigourney Weaver,2157,Edward Behr,1986
0,Aaron Spelling Productions,USA,Tom Moore,Drama,441863,"'night, Mother",PG-13,1/29/1987,96,7.6,Sissy Spacek,1840,Marsha Norman,1986
0,Blake Edwards,USA,Blake Edwards,Action,6029824,A Fine Mess,PG,8/8/1986,90,4.5,Ted Danson,1164,Blake Edwards,1986
0,Chroma III Productions,USA,Mark Griffiths,Comedy,78068,Hardbodies 2,R,9/12/1986,88,2.9,James Karen,895,Mark Griffiths,1986
0,Fons Rademakers Produktie,Netherlands,Fons Rademakers,Drama,203781,The Assault,PG,2/6/1986,155,7.3,Derek de Lint,2694,Gerard Soeteman,1986
0,Griffon Productions,USA,Paul Schneider,Comedy,277405,Willy/Milly,PG-13,11/14/1986,86,5.7,Pamela Adlon,323,Alan Friedman,1986
0,Heron Communications,USA,Janet Greek,Drama,239073,The Ladies Club,R,1986-04,85,5.3,Karen Austin,154,Casey Bishop,1986
0,Delphi V Productions,USA,Stuart Rosenberg,Action,140980,Let's Get Harry,R,10/31/1986,102,5.2,Michael Schoeffling,978,Mark Feldberg,1986
25000000,De Laurentiis Entertainment Group (DEG),USA,Daryl Duke,Adventure,4007250,Tai-Pan,R,11/7/1986,127,5.5,Bryan Brown,1340,John Briley,1986
0,Scary Stuff,USA,Jeffrey Delman,Comedy,2750741,Deadtime Stories,R,11/28/1986,93,4.6,Scott Valentine,973,Jeffrey Delman,1986
17000000,Escalante Productions,USA,Dick Richards,Action,2793214,Heat,R,3/13/1987,101,5.5,Burt Reynolds,1358,William Goldman,1986
0,Kings Road Entertainment,USA,Robert Mandel,Comedy,1254040,Touch and Go,R,8/22/1986,101,5.8,Michael Keaton,684,Alan Ormsby,1986
0,Canadian Broadcasting Corporation (CBC),Canada,Charles Jarrott,Biography,275000,The Boy in Blue,R,1/17/1986,100,5.4,Nicolas Cage,907,Douglas Bowie,1986
0,Universal Pictures,USA,Alan Alda,Comedy,14205021,Sweet Liberty,PG,5/16/1986,106,5.7,Alan Alda,2300,Alan Alda,1986
0,Marquis,USA,William Fruet,Comedy,681337,Killer Party,R,5/9/1986,91,4.7,Martin Hewitt,1265,Barney Cohen,1986
0,Rondo Productions,USA,Bill Sherwood,Drama,537681,Parting Glances,Not specified,2/19/1986,90,7.8,John Bolger,2330,Bill Sherwood,1986
0,Nelvana,Canada,Dale Schott,Animation,8540346,Care Bears Movie II: A New Generation,G,3/21/1986,76,5.3,Maxine Miller,1760,Peter Sauder,1986
14000000,Columbia Pictures Corporation,USA,Richard Pryor,Biography,18034150,"Jo Jo Dancer, Your Life Is Calling",R,5/2/1986,97,6.3,Richard Pryor,1288,Rocco Urbisci,1986
0,Balcor Film Investors,USA,Andrew Lane,Action,1943751,Jake Speed,PG,5/30/1986,100,5.3,Wayne Crawford,632,Wayne Crawford,1986
3401376,Cinema Group Ventures,USA,Renny Harlin,Action,3388020,Born American,R,8/29/1986,97,4.3,Mike Norris,1509,Renny Harlin,1986
10000000,Paramount Pictures,USA,Michelle Manning,Action,6947787,Blue City,R,5/2/1986,83,4.4,Judd Nelson,792,Ross Macdonald,1986
0,Cascade Films,Australia,Nadia Tass,Comedy,544472,Malcolm,PG-13,11/5/1986,90,7.2,Colin Friels,1623,David Parker,1986
0,Miramax,USA,Bob Weinstein,Comedy,2669366,Playing for Keeps,PG-13,10/3/1986,102,4.1,Daniel Jordano,515,Bob Weinstein,1986
0,Golan-Globus Productions,USA,Andrey Konchalovskiy,Drama,8736,Duet for One,R,1987-02,107,7,Julie Andrews,699,Tom Kempinski,1986
0,Island Pictures,USA,Evelyn Purcell,Comedy,563358,Nobody's Fool,PG-13,11/7/1986,107,5.5,Rosanna Arquette,652,Beth Henley,1986
0,Paramount Pictures,USA,John Byrum,Comedy,444746,The Whoopee Boys,R,8/22/1986,88,6.2,Michael O'Keefe,639,Steve Zacharias,1986
